,Title,Shop_Name,Is_Ad,Star_Rating,Num_Reviews,Price,Is_Bestseller,Num_Sales,Num_Basket,Description,Days_to_Arrival,Cost_Delivery,Returns_Accepted,Dispatched_From,Num_Images,Category
0,"Happy birthday card, Bird birthday card, Nature lover birthday card, 3d Birthday card, Wife birthday card, Mum birthday card, birthday card",14,1,5,"2,366",4.99,1,"14,063",20,"Each piece at Chau Art is originally hand designed and elaborately cut, which then be laser produced on 300 gsm FSC certified paper. Chaus designs are noted for their intricate and feminine visuals inspired by nature and the surrounding world, making it card a piece of miniature card to keep, to",2.0,0.99,1,United Kingdom,1,birthday card
1,FLOWER BIRTHDAY CARD | Birthday Card for Her | Orchid Card | Flower Photo Card | Floral Birthday Card | Birthday Card | Botanical Card,18,1,5,93,2.30,1,"1,011",20,"Flower birthday card featuring a pink orchid on a white background, photographed in my home studio. The card has a 1.5cm white border around the image.  Please be aware that I am unable to personalise cards or send them directly to the recipient.  This is a single birthday card with Happy Birthday",4.0,1.0,0,United Kingdom,3,birthday card
2,"Cat Birthday Pop Up Card | Cat Lovers Gift, Mothers Day Cards , Cat Birthday Card, Cat Lover Cards, mum birthday card, 3D Birthday Card",12,1,5,"1,409",10.00,1,"10,581",19,"Our handcrafted Cats-Tree Birthday pop up card is the perfect gift to celebrate a special occasion. The intricate Cats-Tree pop up card will leave a lasting impression on the recipient when opened, and can easily be showcased on a shelf or mantelpiece for all to talk about!  *Dimensions 15 x 20 cm",3.0,0.0,1,United Kingdom,6,birthday card
3,Christmas Tree Enamel Pin Card - Christmas greeting card - Holiday Greeting Card - Merry Christmas Card - Pin Card,80,1,5,"10,556",3.82,1,"70,238",20,"A unique Christmas greeting card that features a beautiful Christmas tree in black and gold. This is a stand out Christmas card, and the recipient can wear the enamel pin through the festive season!  Each enamel pin card is packaged in a protective envelope to ensure your card arrives in perfect",,0.95,1,United Kingdom,1,birthday card
4,"30th Birthday,  Laser Cut Pop Up Card  - POP130",112,1,5,"1,692",5.09,1,"1,536",120,Perfect for that special occasion Our 60th birthday card freestanding hearts feature a sixpence from 1960 A lovely alternative to a birthday card. Every 60th birthday needs to be remembered and this fantastic birthday card will be everlasting. All sixpences are cleaned and polished. Made from 4 mm,2.0,0.0,1,United Kingdom,1,birthday card
5,"Donald Trump Recount Birthday Card, Funny Birthday Card, 30th, 40th, 50th, Greetings Card, for Him, Lockdown, for Her, US Election",77,0,5,"3,875",3.20,1,"38,113",20,"Donald Trump Recount Birthday Card, Funny Birthday Card, 30th, 40th, 50th, Greetings Card, for Him, Lockdown, for Her, US Election  - 3 for 2 OFFER! - Buy ANY two cards from NotNiceThings and when you place your order, leave an order note telling us which third card youd like us to include from our",2.0,0.76,1,United Kingdom,4,birthday card
6,"Well, This Is Awkward - Pandemic Funny Birthday Card",85,0,5,996,2.20,1,"8,555",20,A6 300gsm card left blank inside for your own message. Includes Kraft envelope & compostable cellophane bag.,3.0,1.5,1,United Kingdom,1,birthday card
7,WAP Birthday Card - Cardi B Birthday Card - Cardi B & Megan Thee Stallion WAP - Funny Card - WAP Card,107,0,5,427,2.95,1,"3,945",20,"WAP card based off the iconic music video by Cardi B & Megan Thee Stallion. Matching gift wrap is available on my store but is not included in this listing.  IF YOU WISH TO SEND THE CARD DIRECTLY TO THE RECIPIENT, PLEASE WRITE A GIFT MESSAGE AND ENTER THE RECIPIENTS ADDRESS AND NOT YOUR OWN.  **",,0.4,0,United Kingdom,3,birthday card
8,"Funny 2020 Birthday Card for Him or Her, Funny Lockdown Birthday Gift Card",68,0,5,"5,530",1.95,1,"38,342",20,"✚ About the item:  Hello, you are looking at our 2020 lockdown birthday card. The card features a cute birthday bin with the message Happy 2020 Birthday! The year the bin went out more than you!  The card measures 148 X 148mm and is blank inside for you to write your own personal message. The card",2.0,1.25,1,United Kingdom,1,birthday card
9,Cats Birthday Card,40,0,5,"1,027",2.50,1,"5,832",20,Perfect card to say Happy Birthday for the cat lover!  ・Based on my original illustration and professionally printed in the UK. ・Blank inside for your own message. ・Size : A6 ( W 14.8cm x H 10.5cm / 5.82 x 4.13)  This card is printed on 280gsm slightly textured paper and comes with recycled brown,3.0,1.0,1,United Kingdom,3,birthday card
10,Hamilton King George Musical Birthday Card,127,0,5,292,2.99,1,"3,944",20,300gsm Premium Matte Card A4 folded to A5 Includes separate white envelope,5.0,0.75,1,United Kingdom,1,birthday card
11,"Birthday Card for Her, Floral Birthday card, Womens Greetings Card, Personalised Birthday Card, Womens Birthday Card, Female Birthday Card",19,0,5,"2,636",2.94,1,"17,597",20,"You can personalise this card with any name!  This personalised birthday card is the perfect way to wish someone a very Happy Birthday!  Card Details - The inside of the card is left blank for your own personal message - The card fits to a 6 x 6 inch envelope - Cut from a high quality (300 gsm),",3.0,0.95,1,United Kingdom,6,birthday card
